"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BRA","Brazil","D1VK","Financial and insurance activities (ISIC rev4)","C","Current prices","2018","2018","BRL","Brazilian Real","6","Millions",,,165217,,
"BRA","Brazil","D11VL","Real estate activities (ISIC rev4)","C","Current prices","2015","2015","BRL","Brazilian Real","6","Millions",,,5378,,
"BRA","Brazil","D11VL","Real estate activities (ISIC rev4)","C","Current prices","2016","2016","BRL","Brazilian Real","6","Millions",,,5723,,
"BRA","Brazil","D11VL","Real estate activities (ISIC rev4)","C","Current prices","2017","2017","BRL","Brazilian Real","6","Millions",,,6441,,
"BRA","Brazil","D11VL","Real estate activities (ISIC rev4)","C","Current prices","2018","2018","BRL","Brazilian Real","6","Millions",,,6253,,
"BRA","Brazil","D11VR_U","Other service activities (ISIC rev4)","C","Current prices","2015","2015","BRL","Brazilian Real","6","Millions",,,101424,,
"BRA","Brazil","D11VR_U","Other service activities (ISIC rev4)","C","Current prices","2016","2016","BRL","Brazilian Real","6","Millions",,,108444,,
"BRA","Brazil","D11VR_U","Other service activities (ISIC rev4)","C","Current prices","2017","2017","BRL","Brazilian Real","6","Millions",,,113129,,
"BRA","Brazil","D11VR_U","Other service activities (ISIC rev4)","C","Current prices","2018","2018","BRL","Brazilian Real","6","Millions",,,121096,,
"BRA","Brazil","D11","Wages and salaries","C","Current prices","2015","2015","BRL","Brazilian Real","6","Millions",,,2126848,,
"BRA","Brazil","D11","Wages and salaries","C","Current prices","2016","2016","BRL","Brazilian Real","6","Millions",,,2229292,,
"BRA","Brazil","D11","Wages and salaries","C","Current prices","2017","2017","BRL","Brazilian Real","6","Millions",,,2312355,,
"BRA","Brazil","D11","Wages and salaries","C","Current prices","2018","2018","BRL","Brazilian Real","6","Millions",,,2422298,,
"BRA","Brazil","B1G_P119","Gross value added at basic prices, excluding FISIM","V","Constant prices, national base year","2015","2015","BRL","Brazilian Real","6","Millions","2010","2010",3484989.277,,
"BRA","Brazil","B1G_P119","Gross value added at basic prices, excluding FISIM","V","Constant prices, national base year","2016","2016","BRL","Brazilian Real","6","Millions","2010","2010",3383919.47,,
"BRA","Brazil","B1G_P119","Gross value added at basic prices, excluding FISIM","V","Constant prices, national base year","2017","2017","BRL","Brazilian Real","6","Millions","2010","2010",3426360.958,,
"BRA","Brazil","B1G_P119","Gross value added at basic prices, excluding FISIM","V","Constant prices, national base year","2018","2018","BRL","Brazilian Real","6","Millions","2010","2010",3364532.821,,
"BRA","Brazil","B1G","Gross value added at basic prices, total activity","V","Constant prices, national base year","2015","2015","BRL","Brazilian Real","6","Millions","2010","2010",3484989.277,,
"BRA","Brazil","B1G","Gross value added at basic prices, total activity","V","Constant prices, national base year","2016","2016","BRL","Brazilian Real","6","Millions","2010","2010",3383919.47,,
"BRA","Brazil","B1G","Gross value added at basic prices, total activity","V","Constant prices, national base year","2017","2017","BRL","Brazilian Real","6","Millions","2010","2010",3426360.958,,
"BRA","Brazil","B1G","Gross value added at basic prices, total activity","V","Constant prices, national base year","2018","2018","BRL","Brazilian Real","6","Millions","2010","2010",3364532.821,,
"BRA","Brazil","P3","Final consumption expenditure","V","Constant prices, national base year","2015","2015","BRL","Brazilian Real","6","Millions","2010","2010",3378944.777,,
"BRA","Brazil","P3","Final consumption expenditure","V","Constant prices, national base year","2016","2016","BRL","Brazilian Real","6","Millions","2010","2010",3281592.073,,
"BRA","Brazil","P3","Final consumption expenditure","V","Constant prices, national base year","2017","2017","BRL","Brazilian Real","6","Millions","2010","2010",3325570.685,,
"BRA","Brazil","P3","Final consumption expenditure","V","Constant prices, national base year","2018","2018","BRL","Brazilian Real","6","Millions","2010","2010",3391744.27,,
"BRA","Brazil","B1GVK","Financial and insurance activities (ISIC rev4)","V","Constant prices, national base year","2015","2015","BRL","Brazilian Real","6","Millions","2010","2010",242210.861,,
"BRA","Brazil","B1GVK","Financial and insurance activities (ISIC rev4)","V","Constant prices, national base year","2016","2016","BRL","Brazilian Real","6","Millions","2010","2010",233936.824,,
"BRA","Brazil","B1GVK","Financial and insurance activities (ISIC rev4)","V","Constant prices, national base year","2017","2017","BRL","Brazilian Real","6","Millions","2010","2010",231255.136,,
"BRA","Brazil","B1GVK","Financial and insurance activities (ISIC rev4)","V","Constant prices, national base year","2018","2018","BRL","Brazilian Real","6","Millions","2010","2010",233572.733,,
"BRA","Brazil","B1GVL","Real estate activities (ISIC rev4)","V","Constant prices, national base year","2015","2015","BRL","Brazilian Real","6","Millions","2010","2010",310091.681,,
"BRA","Brazil","B1GVL","Real estate activities (ISIC rev4)","V","Constant prices, national base year","2016","2016","BRL","Brazilian Real","6","Millions","2010","2010",310611.935,,
"BRA","Brazil","B1GVL","Real estate activities (ISIC rev4)","V","Constant prices, national base year","2017","2017","BRL","Brazilian Real","6","Millions","2010","2010",314735.306,,
"BRA","Brazil","B1GVL","Real estate activities (ISIC rev4)","V","Constant prices, national base year","2018","2018","BRL","Brazilian Real","6","Millions","2010","2010",325169.633,,
"BRA","Brazil","B1GVB_E","Industry, including energy (ISIC rev4)","VP","Constant prices, previous year prices","2015","2015","BRL","Brazilian Real","6","Millions",,,835623,,
"BRA","Brazil","B1GVB_E","Industry, including energy (ISIC rev4)","VP","Constant prices, previous year prices","2016","2016","BRL","Brazilian Real","6","Millions",,,841319,,
"BRA","Brazil","B1GVB_E","Industry, including energy (ISIC rev4)","VP","Constant prices, previous year prices","2017","2017","BRL","Brazilian Real","6","Millions",,,895214,,
"BRA","Brazil","B1GVB_E","Industry, including energy (ISIC rev4)","VP","Constant prices, previous year prices","2018","2018","BRL","Brazilian Real","6","Millions",,,968912,,
"BRA","Brazil","B1GVF","Construction (ISIC rev4)","VP","Constant prices, previous year prices","2015","2015","BRL","Brazilian Real","6","Millions",,,279307,,
"BRA","Brazil","B1GVF","Construction (ISIC rev4)","VP","Constant prices, previous year prices","2016","2016","BRL","Brazilian Real","6","Millions",,,266463,,
"BRA","Brazil","B1GVF","Construction (ISIC rev4)","VP","Constant prices, previous year prices","2017","2017","BRL","Brazilian Real","6","Millions",,,249744,,
"BRA","Brazil","B1GVF","Construction (ISIC rev4)","VP","Constant prices, previous year prices","2018","2018","BRL","Brazilian Real","6","Millions",,,237476,,
"BRA","Brazil","B1GVG_I","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)","VP","Constant prices, previous year prices","2015","2015","BRL","Brazilian Real","6","Millions",,,961916,,
"BRA","Brazil","B1GVG_I","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)","VP","Constant prices, previous year prices","2016","2016","BRL","Brazilian Real","6","Millions",,,973049,,
"BRA","Brazil","B1GVG_I","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)","VP","Constant prices, previous year prices","2017","2017","BRL","Brazilian Real","6","Millions",,,1087341,,
"BRA","Brazil","B1GVG_I","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)","VP","Constant prices, previous year prices","2018","2018","BRL","Brazilian Real","6","Millions",,,1161741,,
"BRA","Brazil","B1GVJ","Information and communication (ISIC rev4)","VP","Constant prices, previous year prices","2015","2015","BRL","Brazilian Real","6","Millions",,,167017,,
"BRA","Brazil","B1GVJ","Information and communication (ISIC rev4)","VP","Constant prices, previous year prices","2016","2016","BRL","Brazilian Real","6","Millions",,,172425,,
"BRA","Brazil","B1GVJ","Information and communication (ISIC rev4)","VP","Constant prices, previous year prices","2017","2017","BRL","Brazilian Real","6","Millions",,,181531,,
"BRA","Brazil","B1GVJ","Information and communication (ISIC rev4)","VP","Constant prices, previous year prices","2018","2018","BRL","Brazilian Real","6","Millions",,,198062,,
"BRA","Brazil","B1GVO_Q","Public admin.; compulsory s.s.; education; human health (ISIC rev4)","VP","Constant prices, previous year prices","2015","2015","BRL","Brazilian Real","6","Millions",,,1011151,,
"BRA","Brazil","B1GVO_Q","Public admin.; compulsory s.s.; education; human health (ISIC rev4)","VP","Constant prices, previous year prices","2016","2016","BRL","Brazilian Real","6","Millions",,,1098195,,
"BRA","Brazil","B1GVO_Q","Public admin.; compulsory s.s.; education; human health (ISIC rev4)","VP","Constant prices, previous year prices","2017","2017","BRL","Brazilian Real","6","Millions",,,1172979,,
"BRA","Brazil","B1GVO_Q","Public admin.; compulsory s.s.; education; human health (ISIC rev4)","VP","Constant prices, previous year prices","2018","2018","BRL","Brazilian Real","6","Millions",,,1254208,,
"BRA","Brazil","B1GVR_U","Other service activities (ISIC rev4)","VP","Constant prices, previous year prices","2015","2015","BRL","Brazilian Real","6","Millions",,,144127,,
"BRA","Brazil","B1GVR_U","Other service activities (ISIC rev4)","VP","Constant prices, previous year prices","2016","2016","BRL","Brazilian Real","6","Millions",,,147274,,
"BRA","Brazil","B1GVR_U","Other service activities (ISIC rev4)","VP","Constant prices, previous year prices","2017","2017","BRL","Brazilian Real","6","Millions",,,161878,,
"BRA","Brazil","B1GVR_U","Other service activities (ISIC rev4)","VP","Constant prices, previous year prices","2018","2018","BRL","Brazilian Real","6","Millions",,,176111,,
"BRA","Brazil","P51","Gross fixed capital formation","VOB","Constant prices, OECD base year","2015","2015","BRL","Brazilian Real","6","Millions","2015","2015",1069397,,
"BRA","Brazil","P51","Gross fixed capital formation","VOB","Constant prices, OECD base year","2016","2016","BRL","Brazilian Real","6","Millions","2015","2015",939681,,
"BRA","Brazil","P51","Gross fixed capital formation","VOB","Constant prices, OECD base year","2017","2017","BRL","Brazilian Real","6","Millions","2015","2015",915650.016,,
"BRA","Brazil","P51","Gross fixed capital formation","VOB","Constant prices, OECD base year","2018","2018","BRL","Brazilian Real","6","Millions","2015","2015",963554.612,,
"BRA","Brazil","P31S14","Final consumption expenditure of households","VOB","Constant prices, OECD base year","2015","2015","BRL","Brazilian Real","6","Millions","2015","2015",3747870,,
"BRA","Brazil","P31S14","Final consumption expenditure of households","VOB","Constant prices, OECD base year","2016","2016","BRL","Brazilian Real","6","Millions","2015","2015",3606600,,
"BRA","Brazil","P31S14","Final consumption expenditure of households","VOB","Constant prices, OECD base year","2017","2017","BRL","Brazilian Real","6","Millions","2015","2015",3681958.304,,
"BRA","Brazil","P31S14","Final consumption expenditure of households","VOB","Constant prices, OECD base year","2018","2018","BRL","Brazilian Real","6","Millions","2015","2015",3767879.629,,
"BRA","Brazil","P31S15","Final consumption expenditure of non-profit institutions serving households","VOB","Constant prices, OECD base year","2015","2015","BRL","Brazilian Real","6","Millions","2015","2015",87323,,
"BRA","Brazil","P31S15","Final consumption expenditure of non-profit institutions serving households","VOB","Constant prices, OECD base year","2016","2016","BRL","Brazilian Real","6","Millions","2015","2015",81429,,
"BRA","Brazil","P31S15","Final consumption expenditure of non-profit institutions serving households","VOB","Constant prices, OECD base year","2017","2017","BRL","Brazilian Real","6","Millions","2015","2015",79018.032,,
"BRA","Brazil","P31S15","Final consumption expenditure of non-profit institutions serving households","VOB","Constant prices, OECD base year","2018","2018","BRL","Brazilian Real","6","Millions","2015","2015",82052.751,,
"BRA","Brazil","P3S13","Final consumption expenditure of general government","VOB","Constant prices, OECD base year","2015","2015","BRL","Brazilian Real","6","Millions","2015","2015",1185776,,
"BRA","Brazil","P3S13","Final consumption expenditure of general government","VOB","Constant prices, OECD base year","2016","2016","BRL","Brazilian Real","6","Millions","2015","2015",1188278,,
"BRA","Brazil","P3S13","Final consumption expenditure of general government","VOB","Constant prices, OECD base year","2017","2017","BRL","Brazilian Real","6","Millions","2015","2015",1180308.373,,
"BRA","Brazil","P3S13","Final consumption expenditure of general government","VOB","Constant prices, OECD base year","2018","2018","BRL","Brazilian Real","6","Millions","2015","2015",1189596.106,,
"BRA","Brazil","P7","Imports of goods and services","VOB","Constant prices, OECD base year","2015","2015","BRL","Brazilian Real","6","Millions","2015","2015",842614,,
"BRA","Brazil","P7","Imports of goods and services","VOB","Constant prices, OECD base year","2016","2016","BRL","Brazilian Real","6","Millions","2015","2015",755463,,
"BRA","Brazil","P7","Imports of goods and services","VOB","Constant prices, OECD base year","2017","2017","BRL","Brazilian Real","6","Millions","2015","2015",806207.002,,
"BRA","Brazil","P7","Imports of goods and services","VOB","Constant prices, OECD base year","2018","2018","BRL","Brazilian Real","6","Millions","2015","2015",868629.828,,
"BRA","Brazil","P5","Gross capital formation","VOB","Constant prices, OECD base year","2015","2015","BRL","Brazilian Real","6","Millions","2015","2015",1043964,,
"BRA","Brazil","P5","Gross capital formation","VOB","Constant prices, OECD base year","2016","2016","BRL","Brazilian Real","6","Millions","2015","2015",898382,,
"BRA","Brazil","P5","Gross capital formation","VOB","Constant prices, OECD base year","2017","2017","BRL","Brazilian Real","6","Millions","2015","2015",921622.438,,
"BRA","Brazil","P5","Gross capital formation","VOB","Constant prices, OECD base year","2018","2018","BRL","Brazilian Real","6","Millions","2015","2015",953472.769,,
"BRA","Brazil","B11","External balance of goods and services","VOB","Constant prices, OECD base year","2015","2015","BRL","Brazilian Real","6","Millions","2015","2015",-69146,,
"BRA","Brazil","B11","External balance of goods and services","VOB","Constant prices, OECD base year","2016","2016","BRL","Brazilian Real","6","Millions","2015","2015",24681,,
"BRA","Brazil","B11","External balance of goods and services","VOB","Constant prices, OECD base year","2017","2017","BRL","Brazilian Real","6","Millions","2015","2015",12232.655,,
"BRA","Brazil","B11","External balance of goods and services","VOB","Constant prices, OECD base year","2018","2018","BRL","Brazilian Real","6","Millions","2015","2015",-17018.127,,
"BRA","Brazil","B1GVA","Agriculture, forestry and fishing (ISIC rev4)","VOB","Constant prices, OECD base year","2015","2015","BRL","Brazilian Real","6","Millions","2015","2015",258967,,
"BRA","Brazil","B1GVA","Agriculture, forestry and fishing (ISIC rev4)","VOB","Constant prices, OECD base year","2016","2016","BRL","Brazilian Real","6","Millions","2015","2015",245438,,
"BRA","Brazil","B1GVA","Agriculture, forestry and fishing (ISIC rev4)","VOB","Constant prices, OECD base year","2017","2017","BRL","Brazilian Real","6","Millions","2015","2015",280173.334,,
"BRA","Brazil","B1GVA","Agriculture, forestry and fishing (ISIC rev4)","VOB","Constant prices, OECD base year","2018","2018","BRL","Brazilian Real","6","Millions","2015","2015",97076.868,,
"BRA","Brazil","B1G","Gross value added at basic prices, total activity","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,1549669.124,,
"BRA","Brazil","B1G","Gross value added at basic prices, total activity","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,1552373.375,,
"BRA","Brazil","B1G","Gross value added at basic prices, total activity","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,1777259.12,,
"BRA","Brazil","B1G","Gross value added at basic prices, total activity","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,1645166.204,,
"BRA","Brazil","D1VC","of which: Manufacturing (ISIC rev4)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,118357.775,,
"BRA","Brazil","D1VC","of which: Manufacturing (ISIC rev4)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,114600.997,,
"BRA","Brazil","D1VC","of which: Manufacturing (ISIC rev4)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,129120.562,,
"BRA","Brazil","D1VC","of which: Manufacturing (ISIC rev4)","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,116563.316,,
"BRA","Brazil","D11VC","of which: Manufacturing (ISIC rev4)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,93826.562,,
"BRA","Brazil","D11VC","of which: Manufacturing (ISIC rev4)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,90547.585,,
"BRA","Brazil","D11VC","of which: Manufacturing (ISIC rev4)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,101859.082,,
"BRA","Brazil","D11VC","of which: Manufacturing (ISIC rev4)","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,92038.882,,
"BRA","Brazil","P51N11131","Transport equipment","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,31386.835,,
"BRA","Brazil","P51N11131","Transport equipment","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,24948.777,,
"BRA","Brazil","P51N11131","Transport equipment","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,32468.616,,
"BRA","Brazil","P51N11131","Transport equipment","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,42825.802,,
"BRA","Brazil","P51N1113I","ICT equipment, SNA08","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,18595.064,,
"BRA","Brazil","P51N1113I","ICT equipment, SNA08","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,15260.732,,
"BRA","Brazil","P51N1113I","ICT equipment, SNA08","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,18750.454,,
"BRA","Brazil","P51N1113I","ICT equipment, SNA08","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,18345.431,,
"BRA","Brazil","D1VA","Agriculture, forestry and fishing (ISIC rev4)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,14971.876,,
"BRA","Brazil","D1VA","Agriculture, forestry and fishing (ISIC rev4)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,16002.574,,
"BRA","Brazil","D1VA","Agriculture, forestry and fishing (ISIC rev4)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,18372.249,,
"BRA","Brazil","D1VA","Agriculture, forestry and fishing (ISIC rev4)","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,16100.386,,
"BRA","Brazil","P51N1111","Dwellings","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,79738.691,,
"BRA","Brazil","P51N1111","Dwellings","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,72402.838,,
"BRA","Brazil","P51N1111","Dwellings","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,71158.034,,
"BRA","Brazil","P51N1111","Dwellings","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,62844.821,,
"BRA","Brazil","D1VB_E","Industry, including energy (ISIC rev4)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,138115.782,,
"BRA","Brazil","D1VB_E","Industry, including energy (ISIC rev4)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,134830.061,,
"BRA","Brazil","D1VB_E","Industry, including energy (ISIC rev4)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,150410.976,,
"BRA","Brazil","D1VB_E","Industry, including energy (ISIC rev4)","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,136443.85,,
"BRA","Brazil","P51N1114","Cultivated biological resources","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,5533.072,,
"BRA","Brazil","P51N1114","Cultivated biological resources","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,5618.802,,
"BRA","Brazil","P51N1114","Cultivated biological resources","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,6385.62,,
"BRA","Brazil","P51N1114","Cultivated biological resources","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,5681.443,,
"BRA","Brazil","D1VG_I","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,160373.109,,
"BRA","Brazil","D1VG_I","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,160953.181,,
"BRA","Brazil","D1VG_I","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,185000.612,,
"BRA","Brazil","D1VG_I","Distributive trade, repairs; transport; accommod., food serv. (ISIC rev4)","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,169048.857,,
"BRA","Brazil","D11VJ","Information and communication (ISIC rev4)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,19488.086,,
"BRA","Brazil","D11VJ","Information and communication (ISIC rev4)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,19409.314,,
"BRA","Brazil","D11VJ","Information and communication (ISIC rev4)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,22163.387,,
