"COUNTRY","Country","COMMODITY","Commodity","VARIABLE","Variable","TIME","Time","Value","Flag Codes","Flags"
"BRA","Brazil","WT","Wheat","FE","Feed, kt","2019","2019",278.2121165,,
"BRA","Brazil","WT","Wheat","FO","Food, kt","2015","2015",10305.9681,,
"BRA","Brazil","WT","Wheat","FO","Food, kt","2016","2016",10431.80237,,
"BRA","Brazil","WT","Wheat","FO","Food, kt","2017","2017",10579.56223,,
"BRA","Brazil","WT","Wheat","FO","Food, kt","2018","2018",10737.0615,,
"BRA","Brazil","WT","Wheat","FO","Food, kt","2019","2019",10902.04121,,
"BRA","Brazil","WT","Wheat","BF","Biofuel use, kt","2015","2015",0,,
"BRA","Brazil","WT","Wheat","BF","Biofuel use, kt","2016","2016",0,,
"BRA","Brazil","WT","Wheat","BF","Biofuel use, kt","2017","2017",0,,
"BRA","Brazil","WT","Wheat","BF","Biofuel use, kt","2018","2018",0,,
"BRA","Brazil","WT","Wheat","BF","Biofuel use, kt","2019","2019",0,,
"BRA","Brazil","WT","Wheat","OU","Other use, kt (for Biofuels in millions of litres)","2015","2015",198.8390214,,
"BRA","Brazil","WT","Wheat","OU","Other use, kt (for Biofuels in millions of litres)","2016","2016",201.4016739,,
"BRA","Brazil","WT","Wheat","OU","Other use, kt (for Biofuels in millions of litres)","2017","2017",203.9643265,,
"BRA","Brazil","WT","Wheat","OU","Other use, kt (for Biofuels in millions of litres)","2018","2018",206.526979,,
"BRA","Brazil","WT","Wheat","OU","Other use, kt (for Biofuels in millions of litres)","2019","2019",209.0896316,,
"BRA","Brazil","WT","Wheat","YLD","Yield","2015","2015",2.600021474,,
"BRA","Brazil","WT","Wheat","YLD","Yield","2016","2016",2.651660544,,
"BRA","Brazil","WT","Wheat","YLD","Yield","2017","2017",2.682738985,,
"BRA","Brazil","WT","Wheat","YLD","Yield","2018","2018",2.725278748,,
"BRA","Brazil","WT","Wheat","YLD","Yield","2019","2019",2.747921718,,
"BRA","Brazil","WT","Wheat","PP","Producer price, local currency/t (for Biofuels local currency/ 100 litres)","2015","2015",442.1887069,,
"BRA","Brazil","WT","Wheat","PP","Producer price, local currency/t (for Biofuels local currency/ 100 litres)","2016","2016",468.454663,,
"BRA","Brazil","WT","Wheat","PP","Producer price, local currency/t (for Biofuels local currency/ 100 litres)","2017","2017",488.920623,,
"BRA","Brazil","WT","Wheat","PP","Producer price, local currency/t (for Biofuels local currency/ 100 litres)","2018","2018",515.717777,,
"BRA","Brazil","WT","Wheat","PP","Producer price, local currency/t (for Biofuels local currency/ 100 litres)","2019","2019",535.1520156,,
"BRA","Brazil","WT","Wheat","PC","Consumption per capita, kg","2015","2015",50.69490627,,
"BRA","Brazil","WT","Wheat","PC","Consumption per capita, kg","2016","2016",50.92962521,,
"BRA","Brazil","WT","Wheat","PC","Consumption per capita, kg","2017","2017",51.28056843,,
"BRA","Brazil","WT","Wheat","PC","Consumption per capita, kg","2018","2018",51.68670633,,
"BRA","Brazil","WT","Wheat","PC","Consumption per capita, kg","2019","2019",52.13583707,,
"BRA","Brazil","CG","Coarse grains","QP","Production, kt (for Biofuels in millions of litres)","2015","2015",62197.12674,,
"BRA","Brazil","CG","Coarse grains","QP","Production, kt (for Biofuels in millions of litres)","2016","2016",63173.06749,,
"BRA","Brazil","CG","Coarse grains","QP","Production, kt (for Biofuels in millions of litres)","2017","2017",64599.27894,,
"BRA","Brazil","CG","Coarse grains","QP","Production, kt (for Biofuels in millions of litres)","2018","2018",65796.41877,,
"BRA","Brazil","CG","Coarse grains","QP","Production, kt (for Biofuels in millions of litres)","2019","2019",67062.04019,,
"BRA","Brazil","CG","Coarse grains","IM","Imports, kt (for Biofuels in millions of litres)","2015","2015",1034.794953,,
"BRA","Brazil","CG","Coarse grains","IM","Imports, kt (for Biofuels in millions of litres)","2016","2016",1046.735851,,
"BRA","Brazil","CG","Coarse grains","IM","Imports, kt (for Biofuels in millions of litres)","2017","2017",1058.669042,,
"BRA","Brazil","CG","Coarse grains","IM","Imports, kt (for Biofuels in millions of litres)","2018","2018",1036.917157,,
"BRA","Brazil","CG","Coarse grains","IM","Imports, kt (for Biofuels in millions of litres)","2019","2019",1027.533251,,
"BRA","Brazil","CG","Coarse grains","QC","Consumption, kt (for Biofuels in millions of litres)","2015","2015",53755.17194,,
"BRA","Brazil","CG","Coarse grains","QC","Consumption, kt (for Biofuels in millions of litres)","2016","2016",54458.26321,,
"BRA","Brazil","CG","Coarse grains","QC","Consumption, kt (for Biofuels in millions of litres)","2017","2017",55573.01453,,
"BRA","Brazil","CG","Coarse grains","QC","Consumption, kt (for Biofuels in millions of litres)","2018","2018",56269.74383,,
"BRA","Brazil","CG","Coarse grains","QC","Consumption, kt (for Biofuels in millions of litres)","2019","2019",56928.09509,,
"BRA","Brazil","CG","Coarse grains","ST","Ending stocks, kt (for Biofuels in millions of litres)","2015","2015",11449.21804,,
"BRA","Brazil","CG","Coarse grains","ST","Ending stocks, kt (for Biofuels in millions of litres)","2016","2016",11585.01339,,
"BRA","Brazil","CG","Coarse grains","ST","Ending stocks, kt (for Biofuels in millions of litres)","2017","2017",11768.42219,,
"BRA","Brazil","CG","Coarse grains","ST","Ending stocks, kt (for Biofuels in millions of litres)","2018","2018",11862.38699,,
"BRA","Brazil","CG","Coarse grains","ST","Ending stocks, kt (for Biofuels in millions of litres)","2019","2019",12088.84611,,
"BRA","Brazil","CG","Coarse grains","EX","Exports, kt (for Biofuels in millions of litres)","2015","2015",9348.104133,,
"BRA","Brazil","CG","Coarse grains","EX","Exports, kt (for Biofuels in millions of litres)","2016","2016",9625.744786,,
"BRA","Brazil","CG","Coarse grains","EX","Exports, kt (for Biofuels in millions of litres)","2017","2017",9901.524657,,
"BRA","Brazil","CG","Coarse grains","EX","Exports, kt (for Biofuels in millions of litres)","2018","2018",10469.62729,,
"BRA","Brazil","CG","Coarse grains","EX","Exports, kt (for Biofuels in millions of litres)","2019","2019",10935.01923,,
"BRA","Brazil","CG","Coarse grains","NT","Trade balance, kt (for Biofuels in millions of litres)","2015","2015",8313.30918,,
"BRA","Brazil","CG","Coarse grains","NT","Trade balance, kt (for Biofuels in millions of litres)","2016","2016",8579.008935,,
"BRA","Brazil","CG","Coarse grains","NT","Trade balance, kt (for Biofuels in millions of litres)","2017","2017",8842.855616,,
"BRA","Brazil","CG","Coarse grains","NT","Trade balance, kt (for Biofuels in millions of litres)","2018","2018",9432.710137,,
"BRA","Brazil","CG","Coarse grains","NT","Trade balance, kt (for Biofuels in millions of litres)","2019","2019",9907.485979,,
"BRA","Brazil","CG","Coarse grains","AH","Area harvested, 000 ha","2015","2015",14372.79455,,
"BRA","Brazil","CG","Coarse grains","AH","Area harvested, 000 ha","2016","2016",14435.36482,,
"BRA","Brazil","CG","Coarse grains","AH","Area harvested, 000 ha","2017","2017",14600.31914,,
"BRA","Brazil","CG","Coarse grains","AH","Area harvested, 000 ha","2018","2018",14672.82093,,
"BRA","Brazil","CG","Coarse grains","AH","Area harvested, 000 ha","2019","2019",14823.10959,,
"BRA","Brazil","CG","Coarse grains","FE","Feed, kt","2015","2015",40978.21011,,
"BRA","Brazil","CG","Coarse grains","FE","Feed, kt","2016","2016",41404.55659,,
"BRA","Brazil","CG","Coarse grains","FE","Feed, kt","2017","2017",42249.84102,,
"BRA","Brazil","CG","Coarse grains","FE","Feed, kt","2018","2018",42683.82205,,
"BRA","Brazil","CG","Coarse grains","FE","Feed, kt","2019","2019",43180.38019,,
"BRA","Brazil","CG","Coarse grains","FO","Food, kt","2015","2015",6843.287681,,
"BRA","Brazil","CG","Coarse grains","FO","Food, kt","2016","2016",7024.20878,,
"BRA","Brazil","CG","Coarse grains","FO","Food, kt","2017","2017",7202.346226,,
"BRA","Brazil","CG","Coarse grains","FO","Food, kt","2018","2018",7370.712867,,
"BRA","Brazil","CG","Coarse grains","FO","Food, kt","2019","2019",7441.47742,,
"BRA","Brazil","CG","Coarse grains","BF","Biofuel use, kt","2015","2015",0,,
"BRA","Brazil","CG","Coarse grains","BF","Biofuel use, kt","2016","2016",0,,
"BRA","Brazil","CG","Coarse grains","BF","Biofuel use, kt","2017","2017",0,,
"BRA","Brazil","CG","Coarse grains","BF","Biofuel use, kt","2018","2018",0,,
"BRA","Brazil","CG","Coarse grains","BF","Biofuel use, kt","2019","2019",0,,
"BRA","Brazil","CG","Coarse grains","OU","Other use, kt (for Biofuels in millions of litres)","2015","2015",5933.674153,,
"BRA","Brazil","CG","Coarse grains","OU","Other use, kt (for Biofuels in millions of litres)","2016","2016",6029.497843,,
"BRA","Brazil","CG","Coarse grains","OU","Other use, kt (for Biofuels in millions of litres)","2017","2017",6120.827276,,
"BRA","Brazil","CG","Coarse grains","OU","Other use, kt (for Biofuels in millions of litres)","2018","2018",6215.208921,,
"BRA","Brazil","CG","Coarse grains","OU","Other use, kt (for Biofuels in millions of litres)","2019","2019",6306.237479,,
"BRA","Brazil","CG","Coarse grains","YLD","Yield","2015","2015",4.327420568,,
"BRA","Brazil","CG","Coarse grains","YLD","Yield","2016","2016",4.376270934,,
"BRA","Brazil","CG","Coarse grains","YLD","Yield","2017","2017",4.424511432,,
"BRA","Brazil","CG","Coarse grains","YLD","Yield","2018","2018",4.484237836,,
"BRA","Brazil","CG","Coarse grains","YLD","Yield","2019","2019",4.524154652,,
"BRA","Brazil","CG","Coarse grains","PP","Producer price, local currency/t (for Biofuels local currency/ 100 litres)","2015","2015",447.0345466,,
"BRA","Brazil","CG","Coarse grains","PP","Producer price, local currency/t (for Biofuels local currency/ 100 litres)","2016","2016",459.9706907,,
"BRA","Brazil","CG","Coarse grains","PP","Producer price, local currency/t (for Biofuels local currency/ 100 litres)","2017","2017",474.6864182,,
"BRA","Brazil","CG","Coarse grains","PP","Producer price, local currency/t (for Biofuels local currency/ 100 litres)","2018","2018",494.7766049,,
"BRA","Brazil","CG","Coarse grains","PP","Producer price, local currency/t (for Biofuels local currency/ 100 litres)","2019","2019",512.1606456,,
"BRA","Brazil","CG","Coarse grains","PC","Consumption per capita, kg","2015","2015",33.66203198,,
"BRA","Brazil","CG","Coarse grains","PC","Consumption per capita, kg","2016","2016",34.29324174,,
"BRA","Brazil","CG","Coarse grains","PC","Consumption per capita, kg","2017","2017",34.91074588,,
"BRA","Brazil","CG","Coarse grains","PC","Consumption per capita, kg","2018","2018",35.48157674,,
"BRA","Brazil","CG","Coarse grains","PC","Consumption per capita, kg","2019","2019",35.58669856,,
"BRA","Brazil","RI","Rice","QP","Production, kt (for Biofuels in millions of litres)","2015","2015",7947.186081,,
"BRA","Brazil","RI","Rice","QP","Production, kt (for Biofuels in millions of litres)","2016","2016",7774.167355,,
"BRA","Brazil","RI","Rice","QP","Production, kt (for Biofuels in millions of litres)","2017","2017",7708.778504,,
"BRA","Brazil","RI","Rice","QP","Production, kt (for Biofuels in millions of litres)","2018","2018",7669.559979,,
"BRA","Brazil","RI","Rice","QP","Production, kt (for Biofuels in millions of litres)","2019","2019",7717.621213,,
"BRA","Brazil","RI","Rice","IM","Imports, kt (for Biofuels in millions of litres)","2015","2015",1178.04452,,
"BRA","Brazil","RI","Rice","IM","Imports, kt (for Biofuels in millions of litres)","2016","2016",1247.57207,,
"BRA","Brazil","RI","Rice","IM","Imports, kt (for Biofuels in millions of litres)","2017","2017",1297.153516,,
"BRA","Brazil","RI","Rice","IM","Imports, kt (for Biofuels in millions of litres)","2018","2018",1300.815565,,
"BRA","Brazil","RI","Rice","IM","Imports, kt (for Biofuels in millions of litres)","2019","2019",1251.951012,,
"BRA","Brazil","RI","Rice","QC","Consumption, kt (for Biofuels in millions of litres)","2015","2015",8486.586076,,
"BRA","Brazil","RI","Rice","QC","Consumption, kt (for Biofuels in millions of litres)","2016","2016",8519.982714,,
"BRA","Brazil","RI","Rice","QC","Consumption, kt (for Biofuels in millions of litres)","2017","2017",8459.638187,,
"BRA","Brazil","RI","Rice","QC","Consumption, kt (for Biofuels in millions of litres)","2018","2018",8393.067426,,
"BRA","Brazil","RI","Rice","QC","Consumption, kt (for Biofuels in millions of litres)","2019","2019",8367.48534,,
"BRA","Brazil","RI","Rice","ST","Ending stocks, kt (for Biofuels in millions of litres)","2015","2015",1423.18586,,
"BRA","Brazil","RI","Rice","ST","Ending stocks, kt (for Biofuels in millions of litres)","2016","2016",1472.713364,,
"BRA","Brazil","RI","Rice","ST","Ending stocks, kt (for Biofuels in millions of litres)","2017","2017",1536.549379,,
"BRA","Brazil","RI","Rice","ST","Ending stocks, kt (for Biofuels in millions of litres)","2018","2018",1606.26904,,
"BRA","Brazil","RI","Rice","ST","Ending stocks, kt (for Biofuels in millions of litres)","2019","2019",1672.311953,,
"BRA","Brazil","RI","Rice","EX","Exports, kt (for Biofuels in millions of litres)","2015","2015",573.0032778,,
"BRA","Brazil","RI","Rice","EX","Exports, kt (for Biofuels in millions of litres)","2016","2016",452.2292055,,
"BRA","Brazil","RI","Rice","EX","Exports, kt (for Biofuels in millions of litres)","2017","2017",482.4578189,,
"BRA","Brazil","RI","Rice","EX","Exports, kt (for Biofuels in millions of litres)","2018","2018",507.5884566,,
"BRA","Brazil","RI","Rice","EX","Exports, kt (for Biofuels in millions of litres)","2019","2019",536.0439721,,
"BRA","Brazil","RI","Rice","NT","Trade balance, kt (for Biofuels in millions of litres)","2015","2015",-605.041242,,
"BRA","Brazil","RI","Rice","NT","Trade balance, kt (for Biofuels in millions of litres)","2016","2016",-795.3428641,,
"BRA","Brazil","RI","Rice","NT","Trade balance, kt (for Biofuels in millions of litres)","2017","2017",-814.6956972,,
"BRA","Brazil","RI","Rice","NT","Trade balance, kt (for Biofuels in millions of litres)","2018","2018",-793.2271081,,
"BRA","Brazil","RI","Rice","NT","Trade balance, kt (for Biofuels in millions of litres)","2019","2019",-715.9070398,,
"BRA","Brazil","RI","Rice","AH","Area harvested, 000 ha","2015","2015",2450.205805,,
"BRA","Brazil","RI","Rice","AH","Area harvested, 000 ha","2016","2016",2357.999582,,
"BRA","Brazil","RI","Rice","AH","Area harvested, 000 ha","2017","2017",2292.614577,,
"BRA","Brazil","RI","Rice","AH","Area harvested, 000 ha","2018","2018",2231.524697,,
"BRA","Brazil","RI","Rice","AH","Area harvested, 000 ha","2019","2019",2200.532805,,
"BRA","Brazil","RI","Rice","FE","Feed, kt","2015","2015",0,,
"BRA","Brazil","RI","Rice","FE","Feed, kt","2016","2016",0,,
"BRA","Brazil","RI","Rice","FE","Feed, kt","2017","2017",0,,
"BRA","Brazil","RI","Rice","FE","Feed, kt","2018","2018",0,,
"BRA","Brazil","RI","Rice","FE","Feed, kt","2019","2019",0,,
"BRA","Brazil","RI","Rice","FO","Food, kt","2015","2015",8486.586076,,
"BRA","Brazil","RI","Rice","FO","Food, kt","2016","2016",8519.982714,,
"BRA","Brazil","RI","Rice","FO","Food, kt","2017","2017",8459.638187,,
"BRA","Brazil","RI","Rice","FO","Food, kt","2018","2018",8393.067426,,
"BRA","Brazil","RI","Rice","FO","Food, kt","2019","2019",8367.48534,,
"BRA","Brazil","RI","Rice","YLD","Yield","2015","2015",3.243476963,,
"BRA","Brazil","RI","Rice","YLD","Yield","2016","2016",3.296933305,,
"BRA","Brazil","RI","Rice","YLD","Yield","2017","2017",3.362439802,,
"BRA","Brazil","RI","Rice","YLD","Yield","2018","2018",3.436914676,,
"BRA","Brazil","RI","Rice","YLD","Yield","2019","2019",3.507160264,,
"BRA","Brazil","RI","Rice","PP","Producer price, local currency/t (for Biofuels local currency/ 100 litres)","2015","2015",838.6973718,,
"BRA","Brazil","RI","Rice","PP","Producer price, local currency/t (for Biofuels local currency/ 100 litres)","2016","2016",870.9005332,,
"BRA","Brazil","RI","Rice","PP","Producer price, local currency/t (for Biofuels local currency/ 100 litres)","2017","2017",902.0250403,,
"BRA","Brazil","RI","Rice","PP","Producer price, local currency/t (for Biofuels local currency/ 100 litres)","2018","2018",942.2605671,,
"BRA","Brazil","RI","Rice","PP","Producer price, local currency/t (for Biofuels local currency/ 100 litres)","2019","2019",974.8646997,,
"BRA","Brazil","RI","Rice","PC","Consumption per capita, kg","2015","2015",41.74539273,,
"BRA","Brazil","RI","Rice","PC","Consumption per capita, kg","2016","2016",41.59583463,,
"BRA","Brazil","RI","Rice","PC","Consumption per capita, kg","2017","2017",41.00500999,,
"BRA","Brazil","RI","Rice","PC","Consumption per capita, kg","2018","2018",40.40304803,,
"BRA","Brazil","RI","Rice","PC","Consumption per capita, kg","2019","2019",40.01506176,,
"BRA","Brazil","OS","Oilseeds","QP","Production, kt (for Biofuels in millions of litres)","2015","2015",83141.04477,,
"BRA","Brazil","OS","Oilseeds","QP","Production, kt (for Biofuels in millions of litres)","2016","2016",84926.1637,,
"BRA","Brazil","OS","Oilseeds","QP","Production, kt (for Biofuels in millions of litres)","2017","2017",86096.53492,,
"BRA","Brazil","OS","Oilseeds","QP","Production, kt (for Biofuels in millions of litres)","2018","2018",87763.85437,,
"BRA","Brazil","OS","Oilseeds","QP","Production, kt (for Biofuels in millions of litres)","2019","2019",89084.67741,,
"BRA","Brazil","OS","Oilseeds","IM","Imports, kt (for Biofuels in millions of litres)","2015","2015",52.94299512,,
"BRA","Brazil","OS","Oilseeds","IM","Imports, kt (for Biofuels in millions of litres)","2016","2016",53.75543415,,
"BRA","Brazil","OS","Oilseeds","IM","Imports, kt (for Biofuels in millions of litres)","2017","2017",54.56787317,,
"BRA","Brazil","OS","Oilseeds","IM","Imports, kt (for Biofuels in millions of litres)","2018","2018",55.3803122,,
"BRA","Brazil","OS","Oilseeds","IM","Imports, kt (for Biofuels in millions of litres)","2019","2019",56.19275122,,
"BRA","Brazil","OS","Oilseeds","QC","Consumption, kt (for Biofuels in millions of litres)","2015","2015",46655.52923,,
"BRA","Brazil","OS","Oilseeds","QC","Consumption, kt (for Biofuels in millions of litres)","2016","2016",47922.36192,,
"BRA","Brazil","OS","Oilseeds","QC","Consumption, kt (for Biofuels in millions of litres)","2017","2017",49163.13033,,
"BRA","Brazil","OS","Oilseeds","QC","Consumption, kt (for Biofuels in millions of litres)","2018","2018",50509.53868,,
"BRA","Brazil","OS","Oilseeds","QC","Consumption, kt (for Biofuels in millions of litres)","2019","2019",51781.97174,,
"BRA","Brazil","OS","Oilseeds","ST","Ending stocks, kt (for Biofuels in millions of litres)","2015","2015",1952.25042,,
"BRA","Brazil","OS","Oilseeds","ST","Ending stocks, kt (for Biofuels in millions of litres)","2016","2016",1995.685658,,
"BRA","Brazil","OS","Oilseeds","ST","Ending stocks, kt (for Biofuels in millions of litres)","2017","2017",1966.008608,,
"BRA","Brazil","OS","Oilseeds","ST","Ending stocks, kt (for Biofuels in millions of litres)","2018","2018",1989.858576,,
"BRA","Brazil","OS","Oilseeds","ST","Ending stocks, kt (for Biofuels in millions of litres)","2019","2019",2003.334355,,
"BRA","Brazil","OS","Oilseeds","EX","Exports, kt (for Biofuels in millions of litres)","2015","2015",36601.7638,,
"BRA","Brazil","OS","Oilseeds","EX","Exports, kt (for Biofuels in millions of litres)","2016","2016",37014.12198,,
"BRA","Brazil","OS","Oilseeds","EX","Exports, kt (for Biofuels in millions of litres)","2017","2017",37017.64951,,
"BRA","Brazil","OS","Oilseeds","EX","Exports, kt (for Biofuels in millions of litres)","2018","2018",37285.84604,,
"BRA","Brazil","OS","Oilseeds","EX","Exports, kt (for Biofuels in millions of litres)","2019","2019",37345.42264,,
"BRA","Brazil","OS","Oilseeds","NT","Trade balance, kt (for Biofuels in millions of litres)","2015","2015",36548.82081,,
"BRA","Brazil","OS","Oilseeds","NT","Trade balance, kt (for Biofuels in millions of litres)","2016","2016",36960.36654,,
"BRA","Brazil","OS","Oilseeds","NT","Trade balance, kt (for Biofuels in millions of litres)","2017","2017",36963.08164,,
"BRA","Brazil","OS","Oilseeds","NT","Trade balance, kt (for Biofuels in millions of litres)","2018","2018",37230.46573,,
"BRA","Brazil","OS","Oilseeds","NT","Trade balance, kt (for Biofuels in millions of litres)","2019","2019",37289.22989,,
"BRA","Brazil","OS","Oilseeds","AH","Area harvested, 000 ha","2015","2015",27706.89478,,
"BRA","Brazil","OS","Oilseeds","AH","Area harvested, 000 ha","2016","2016",28259.15084,,
"BRA","Brazil","OS","Oilseeds","AH","Area harvested, 000 ha","2017","2017",28497.40607,,
"BRA","Brazil","OS","Oilseeds","AH","Area harvested, 000 ha","2018","2018",28970.57499,,
"BRA","Brazil","OS","Oilseeds","AH","Area harvested, 000 ha","2019","2019",29311.34607,,
"BRA","Brazil","OS","Oilseeds","CR","Crush, kt","2015","2015",41674.53843,,
"BRA","Brazil","OS","Oilseeds","CR","Crush, kt","2016","2016",42908.15259,,
"BRA","Brazil","OS","Oilseeds","CR","Crush, kt","2017","2017",44119.92733,,
"BRA","Brazil","OS","Oilseeds","CR","Crush, kt","2018","2018",45438.65559,,
"BRA","Brazil","OS","Oilseeds","CR","Crush, kt","2019","2019",46681.80969,,
"BRA","Brazil","OS","Oilseeds","FO","Food, kt","2015","2015",53.3499262,,
"BRA","Brazil","OS","Oilseeds","FO","Food, kt","2016","2016",53.79765119,,
"BRA","Brazil","OS","Oilseeds","FO","Food, kt","2017","2017",54.23939902,,
"BRA","Brazil","OS","Oilseeds","FO","Food, kt","2018","2018",54.68864387,,
"BRA","Brazil","OS","Oilseeds","FO","Food, kt","2019","2019",55.13689115,,
"BRA","Brazil","OS","Oilseeds","OU","Other use, kt (for Biofuels in millions of litres)","2015","2015",4927.640877,,
"BRA","Brazil","OS","Oilseeds","OU","Other use, kt (for Biofuels in millions of litres)","2016","2016",4960.41168,,
"BRA","Brazil","OS","Oilseeds","OU","Other use, kt (for Biofuels in millions of litres)","2017","2017",4988.963602,,
"BRA","Brazil","OS","Oilseeds","OU","Other use, kt (for Biofuels in millions of litres)","2018","2018",5016.194444,,
"BRA","Brazil","OS","Oilseeds","OU","Other use, kt (for Biofuels in millions of litres)","2019","2019",5045.025159,,
"BRA","Brazil","OS","Oilseeds","YLD","Yield","2015","2015",3.000734851,,
"BRA","Brazil","OS","Oilseeds","YLD","Yield","2016","2016",3.005262408,,
"BRA","Brazil","OS","Oilseeds","YLD","Yield","2017","2017",3.021206026,,
"BRA","Brazil","OS","Oilseeds","YLD","Yield","2018","2018",3.029413617,,
"BRA","Brazil","OS","Oilseeds","YLD","Yield","2019","2019",3.039255761,,
"BRA","Brazil","OS","Oilseeds","PP","Producer price, local currency/t (for Biofuels local currency/ 100 litres)","2015","2015",918.6302366,,
"BRA","Brazil","OS","Oilseeds","PP","Producer price, local currency/t (for Biofuels local currency/ 100 litres)","2016","2016",937.05851,,
"BRA","Brazil","OS","Oilseeds","PP","Producer price, local currency/t (for Biofuels local currency/ 100 litres)","2017","2017",979.5370624,,
"BRA","Brazil","OS","Oilseeds","PP","Producer price, local currency/t (for Biofuels local currency/ 100 litres)","2018","2018",1006.108502,,
"BRA","Brazil","OS","Oilseeds","PP","Producer price, local currency/t (for Biofuels local currency/ 100 litres)","2019","2019",1037.195581,,
"BRA","Brazil","PM","Protein meals","QP","Production, kt (for Biofuels in millions of litres)","2015","2015",30984.83129,,
"BRA","Brazil","PM","Protein meals","QP","Production, kt (for Biofuels in millions of litres)","2016","2016",31932.47046,,
"BRA","Brazil","PM","Protein meals","QP","Production, kt (for Biofuels in millions of litres)","2017","2017",32849.39967,,
"BRA","Brazil","PM","Protein meals","QP","Production, kt (for Biofuels in millions of litres)","2018","2018",33845.95352,,
