"LOCATION","Country","TYPE_VAR","Type of indicator","VARIABLE","Indicator","WB","Current/Future Well-being","SEX","Sex","AGE","Age","EDUCATION","Education","TIME","Time","Value","Flag Codes","Flags"
"BRA","Brazil","AVERAGE","Average","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",89.2547785780007,,
"BRA","Brazil","DEP","Deprivation","9_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",80.62911,,
"BRA","Brazil","DEP","Deprivation","9_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",76.31063,,
"BRA","Brazil","DEP","Deprivation","9_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",81.73894,,
"BRA","Brazil","DEP","Deprivation","9_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",81.18153,,
"BRA","Brazil","DEP","Deprivation","9_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",81.70724,,
"BRA","Brazil","DEP","Deprivation","2_7","Long hours in paid work","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",7.56287511662991,,
"BRA","Brazil","DEP","Deprivation","2_7","Long hours in paid work","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",6.15947159622889,,
"BRA","Brazil","DEP","Deprivation","2_7","Long hours in paid work","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",6.44684487486496,,
"BRA","Brazil","DEP","Deprivation","2_7","Long hours in paid work","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",6.78373784281318,,
"BRA","Brazil","DEP","Deprivation","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",9.26174293652534,,
"BRA","Brazil","DEP","Deprivation","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",8.71530334172137,,
"BRA","Brazil","DEP","Deprivation","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",9.50206975128764,,
"BRA","Brazil","DEP","Deprivation","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",11.726324900179,,
"BRA","Brazil","DEP","Deprivation","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",10.008184788734,,
"BRA","Brazil","AVERAGE","Average","3_5","Households with internet access at home ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",44.3,,
"BRA","Brazil","AVERAGE","Average","3_5","Households with internet access at home ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",48.1,,
"BRA","Brazil","AVERAGE","Average","3_5","Households with internet access at home ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",53.8,,
"BRA","Brazil","AVERAGE","Average","3_5","Households with internet access at home ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",59.3252795,,
"BRA","Brazil","AVERAGE","Average","3_5","Households with internet access at home ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",63,,
"BRA","Brazil","AVERAGE","Average","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",16.3462832570076,,
"BRA","Brazil","AVERAGE","Average","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",16.3462832570076,,
"BRA","Brazil","AVERAGE","Average","11_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",16.3462832570076,,
"BRA","Brazil","DEP","Deprivation","6_3","Student skills (science)","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",43.2089867425064,,
"BRA","Brazil","DEP","Deprivation","6_1","Student skills (reading)","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",43.2089867425064,,
